username,allowedServices,defaultService
RocketEagle,gemini-explanation,gemini-explanation
TigerTiger,gemini-explanation,gemini-explanation
RocketMonkey,gemini-explanation,gemini-explanation
KittenYellow,gemini-explanation,gemini-explanation
XenonQuartz,gemini-explanation,gemini-explanation
EagleOrange,gemini-explanation,gemini-explanation
DeltaNoodle,gemini-scaffolding,gemini-scaffolding
OrangeXenon,gemini-explanation,gemini-explanation
BakerTiger,gemini-direct,gemini-direct
XenonViolet,gemini-scaffolding,gemini-scaffolding
UmbrellaFrost,gemini-direct,gemini-direct
VioletQuartz,gemini-scaffolding,gemini-scaffolding
HappyFrost,gemini-scaffolding,gemini-scaffolding
DeltaXenon,gemini-direct,gemini-direct
VioletWhale,gemini-direct,gemini-direct
ZebraHappy,gemini-scaffolding,gemini-scaffolding
XenonRocket,gemini-direct,gemini-direct
AppleUmbrella,gemini-direct,gemini-direct
BakerCandy,gemini-explanation,gemini-explanation
JollyWhale,gemini-scaffolding,gemini-scaffolding
DeltaViolet,gemini-direct,gemini-direct
HappyBaker,gemini-scaffolding,gemini-scaffolding
PandaHappy,gemini-direct,gemini-direct
YellowXenon,gemini-explanation,gemini-explanation
XenonDelta,gemini-direct,gemini-direct
XenonIsland,gemini-direct,gemini-direct
OrangeZebra,gemini-direct,gemini-direct
WhaleOrange,gemini-direct,gemini-direct
QuartzLemon,gemini-direct,gemini-direct
UmbrellaTiger,gemini-direct,gemini-direct
MonkeyXenon,gemini-direct,gemini-direct
ZebraSunny,gemini-explanation,gemini-explanation
XenonYellow,gemini-explanation,gemini-explanation
QuartzYellow,gemini-direct,gemini-direct
UmbrellaBaker,gemini-scaffolding,gemini-scaffolding
NoodlePanda,gemini-scaffolding,gemini-scaffolding
IslandXenon,gemini-scaffolding,gemini-scaffolding
MonkeyDelta,gemini-explanation,gemini-explanation
JollyYellow,gemini-scaffolding,gemini-scaffolding
TigerGrape,gemini-direct,gemini-direct
BakerKitten,gemini-scaffolding,gemini-scaffolding
MonkeyBaker,gemini-scaffolding,gemini-scaffolding
LemonUmbrella,gemini-direct,gemini-direct
WhaleSunny,gemini-explanation,gemini-explanation
JollyTiger,gemini-scaffolding,gemini-scaffolding
MonkeyEagle,gemini-scaffolding,gemini-scaffolding
DeltaTiger,gemini-explanation,gemini-explanation
VioletViolet,gemini-direct,gemini-direct
ZebraYellow,gemini-explanation,gemini-explanation
HappyViolet,gemini-direct,gemini-direct
